Strain	Genotype	Genotype List Used, >=98.0%	Genotype Sample Title List	Genotype Percent Match List	Genotype Mismatch List	Genotype Average Depth of Coverage List	Date run
A/Black_Skimmer/Maule/240379/2023	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.39%, 99.08%, 99.40%, 99.39%, 99.35%, 99.20%, 99.15%, 99.53%	14, 21, 5, 6, 11, 12, 12, 10	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/double-crested_cormorant/Massachusetts/22-022527-009/2022	A2	PB2:ea1, PB1:ea2, NS:ea1, MP:ea1, HA:ea2, NP:ea1, NA:ea2, PA:ea1	ea1:22-003707-003:PB2, ea2:22-036180-006:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea2:22-008064-001:HA, ea1:22-003707-003:NP, ea2:22-008064-001:NA, ea1:22-003707-003:PA	99.56%, 99.96%, 99.52%, 99.80%, 99.53%, 99.40%, 99.57%, 99.58%	10, 1, 4, 2, 8, 9, 6, 9	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/avian/Chile/271968/2023	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.39%, 98.86%, 98.81%, 99.29%, 97.86%, 98.93%, 99.29%, 99.49%	14, 26, 10, 7, 38, 16, 10, 11	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/backyard_chicken/Uruguay/UDELAR-144-M3/2023	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.30%, 99.08%, 99.28%, 99.49%, 98.77%, 99.06%, 99.15%, 99.63%	16, 21, 6, 5, 21, 14, 12, 8	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/goose/Washington/22-017869-001-original/2022	B4.1	PB2:am2.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.3, NA:ea1, PA:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.3:22-010445-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.78%, 99.87%, 99.76%, 100.00%, 99.77%, 99.93%, 99.72%, 99.86%	5, 3, 2, 0, 4, 1, 4, 3	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/bald_eagle/Michigan/22-017243-011/2022	B1.2	PB2:am1.1, PB1:am1.1, NS:ea1, MP:ea1, HA:ea1, NP:am1.2, NA:ea1, PA:am1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:NA, am1:22-008890-001:PA	99.83%, 99.69%, 99.52%, 99.80%, 99.59%, 99.67%, 99.79%, 99.86%	4, 7, 4, 2, 7, 5, 3, 3	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/Mallard/Connecticut/USDA-003935-013/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.78%, 99.82%, 99.76%, 100.00%, 99.59%, 99.87%, 99.79%, 99.77%	5, 4, 2, 0, 7, 2, 3, 5	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/chicken/Kansas/22-008114-002/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.83%, 99.91%, 99.88%, 100.00%, 99.77%, 99.87%, 99.79%, 99.72%	4, 2, 1, 0, 4, 2, 3, 6	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/Chicken/Argentina/3695-3/2023	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.17%, 98.77%, 99.28%, 99.39%, 99.12%, 99.00%, 98.94%, 99.30%	19, 28, 6, 6, 15, 15, 15, 15	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/Green-winged_Teal/North_Carolina/USDA-003830-004/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.83%, 99.96%, 99.88%, 100.00%, 99.77%, 99.80%, 99.93%, 99.77%	4, 1, 1, 0, 4, 3, 1, 5	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/Gallus_gallus/CampinapolisBR/1529-N2/2025	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file	NS:am1.1, MP:ea1, HA:ea1, NA:ea1, PA:ea1	am7:22-035442-001:PB2, am12:23-004320-002:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:24-009110-019:HA, am5:23-013078-002:NP, ea1:24-009110-019:NA, ea1:22-003707-003:PA	90.14%, 96.22%, 98.21%, 98.06%, 99.00%, 92.52%, 98.94%, 98.88%	223, 86, 15, 19, 17, 112, 15, 24	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/great_black-backed_gull/MA/GBBG_20220615_1/2022	A2	PB2:ea1, PB1:ea2, NS:ea1, MP:ea1, HA:ea2, NP:ea1, NA:ea2, PA:ea1	ea1:22-003707-003:PB2, ea2:22-036180-006:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea2:22-008064-001:HA, ea1:22-003707-003:NP, ea2:22-008064-001:NA, ea1:22-003707-003:PA	99.56%, 99.96%, 99.52%, 99.80%, 99.71%, 99.40%, 99.72%, 99.72%	10, 1, 4, 2, 5, 9, 4, 6	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/herring_gull/Wisconsin/22-017052-001/2022	B1.1	PB2:am1.1, PB1:am1.1, NS:ea1, MP:ea1, HA:ea1, NP:am1.2, NA:ea1, PA:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.87%, 99.87%, 99.76%, 99.59%, 99.59%, 99.87%, 99.93%, 99.67%	3, 3, 2, 4, 7, 2, 1, 7	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/canada_goose/Washington/22-018408-001/2022	B4.1	PB2:am2.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.3, NA:ea1, PA:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.3:22-010445-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.74%, 99.82%, 99.76%, 99.90%, 99.77%, 99.93%, 99.79%, 99.95%	6, 4, 2, 1, 4, 1, 3, 1	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/canada_goose/Oregon/22-019901-001/2022	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.1, NA:ea1, PA:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.65%, 99.69%, 99.88%, 99.90%, 99.71%, 99.93%, 99.36%, 99.63%	8, 7, 1, 1, 5, 1, 9, 8	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/Turkey/Argentina/1710-1/2023	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.25%, 98.94%, 99.40%, 99.39%, 99.24%, 99.13%, 99.15%, 99.58%	17, 24, 5, 6, 13, 13, 12, 9	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/chicken/Pennsylvania/22-015201-004/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.78%, 99.78%, 99.64%, 99.80%, 99.59%, 99.13%, 99.79%, 99.67%	5, 5, 3, 2, 7, 13, 3, 7	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/Pelican/Missouri/USDA-012338-020/2022	Minor09	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.87%, 99.78%, 99.76%, 100.00%, 99.88%, 99.67%, 99.64%, 100.00%	3, 5, 2, 0, 2, 5, 5, 0	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/Mallard/Ohio/USDA-009209-011/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.91%, 99.96%, 100.00%, 100.00%, 99.82%, 99.93%, 99.79%, 100.00%	2, 1, 0, 0, 3, 1, 3, 0	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/turkey/Indiana/22-005696-001/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	100.00%, 99.96%, 100.00%, 100.00%, 100.00%, 100.00%, 100.00%, 99.91%	0, 1, 0, 0, 0, 0, 0, 2	Ran on FASTA - No Coverage Report	2026-05-29_14-48-55
A/turkey/Wisconsin/22-014948-001/2022	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.69%, 99.69%, 99.88%, 99.80%, 99.82%, 99.80%, 99.64%, 99.86%	7, 7, 1, 2, 3, 3, 5, 3	Ran on FASTA - No Coverage Report	2026-05-29_14-48-55
A/Pelican/Atacama/230158-2/2022	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.47%, 99.34%, 99.28%, 99.49%, 99.12%, 99.20%, 99.50%, 99.63%	12, 15, 6, 5, 15, 12, 7, 8	Ran on FASTA - No Coverage Report	2026-05-29_14-48-55
A/chicken/Minnesota/22-010994-001/2022	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.1, NA:ea1, PA:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.91%, 99.82%, 99.88%, 100.00%, 99.82%, 99.87%, 99.72%, 99.95%	2, 4, 1, 0, 3, 2, 4, 1	Ran on FASTA - No Coverage Report	2026-05-29_14-48-55
A/South_polar_skua/Antarctica/INACH-UC-UCHILE-SKU3/2024	Not assigned: Only 6 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:EPI-ISL-20215425:PA	99.21%, 98.86%, 99.40%, 98.88%, 97.64%, 98.80%, 98.58%, 97.81%	18, 26, 5, 11, 42, 18, 20, 49	Ran on FASTA - No Coverage Report	2026-05-29_14-48-55
A/red_tailed_hawk/Minnesota/22-013395-003/2022	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.1, NA:ea1, PA:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.91%, 99.74%, 99.76%, 100.00%, 99.88%, 99.93%, 99.79%, 99.77%	2, 6, 2, 0, 2, 1, 3, 5	Ran on FASTA - No Coverage Report	2026-05-29_14-48-55
A/rosss_goose/North_Dakota/22-013422-003/2022	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.78%, 99.60%, 99.52%, 99.80%, 99.77%, 99.80%, 99.79%, 99.81%	5, 9, 4, 2, 4, 3, 3, 4	Ran on FASTA - No Coverage Report	2026-05-29_14-48-55
A/Great_Horned_Owl/Minnesota/USDA-012668-013/2022	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.52%, 99.69%, 99.88%, 99.80%, 99.82%, 99.80%, 99.72%, 99.91%	11, 7, 1, 2, 3, 3, 4, 2	Ran on FASTA - No Coverage Report	2026-05-29_14-48-55
A/great_blue_heron/Oregon/22-020610-001/2022	B4.1	PB2:am2.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.3, NA:ea1, PA:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.3:22-010445-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.78%, 99.69%, 99.88%, 99.90%, 99.65%, 99.93%, 99.57%, 99.86%	5, 7, 1, 1, 6, 1, 6, 3	Ran on FASTA - No Coverage Report	2026-05-29_14-48-55
A/red-tailed_hawk/MA/22MM00792/2022	A2	PB2:ea1, PB1:ea2, NS:ea1, MP:ea1, HA:ea2, NP:ea1, NA:ea2, PA:ea1	ea1:22-003707-003:PB2, ea2:22-036180-006:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea2:22-008064-001:HA, ea1:22-003707-003:NP, ea2:22-008064-001:NA, ea1:22-003707-003:PA	99.61%, 99.96%, 99.40%, 99.80%, 99.53%, 99.47%, 99.64%, 99.63%	9, 1, 5, 2, 8, 8, 5, 8	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
A/American_Black_Duck/Ohio/USDA-009209-007/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	100.00%, 99.96%, 100.00%, 100.00%, 99.82%, 99.93%, 99.86%, 99.95%	0, 1, 0, 0, 3, 1, 2, 1	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
A/chicken/Metropolitana/243148-1/2023	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.30%, 99.16%, 99.40%, 99.39%, 97.92%, 99.06%, 99.36%, 99.44%	16, 19, 5, 6, 37, 14, 9, 12	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
A/Pelecanus/Peru/VFAR-140/2022	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	98.99%, 99.12%, 99.11%, 99.29%, 99.06%, 98.65%, 99.21%, 99.58%	23, 20, 7, 7, 16, 20, 11, 9	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
A/Turkey/Chile/245562-1/2023	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.12%, 99.30%, 99.40%, 99.39%, 97.86%, 98.93%, 99.36%, 99.44%	20, 16, 5, 6, 38, 16, 9, 12	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
A/Sterna_hirundo/Espirito_Santo/1455-N/2023	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.12%, 99.21%, 98.86%, 98.78%, 97.89%, 99.01%, 99.29%, 99.26%	13, 18, 5, 12, 34, 14, 10, 16	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
A/South_polar_skua/Antarctica/INACH-UC-UCHILE-SKU5/2024	Not assigned: Only 6 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:EPI-ISL-20215425:PA	99.21%, 98.90%, 99.28%, 98.88%, 97.69%, 98.80%, 98.58%, 97.76%	18, 25, 6, 11, 41, 18, 20, 50	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
A/turkey/Minnesota/22-010771-001/2022	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.1, NA:ea1, PA:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.87%, 99.87%, 99.76%, 99.90%, 99.82%, 100.00%, 99.86%, 99.91%	3, 3, 2, 1, 3, 0, 2, 2	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
A/duck/Utah/22-014481-001/2022	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.61%, 99.65%, 99.88%, 99.90%, 99.71%, 99.80%, 99.72%, 99.86%	9, 8, 1, 1, 5, 3, 4, 3	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
A/pelican/Peru/PIU-SER028/2022	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.52%, 99.47%, 99.28%, 99.39%, 98.09%, 99.33%, 99.29%, 99.72%	11, 12, 6, 6, 34, 10, 10, 6	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
A/chicken/Pennsylvania/USDA-012578-004/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.83%, 99.87%, 99.64%, 99.80%, 99.47%, 99.27%, 99.86%, 99.67%	4, 3, 3, 2, 9, 11, 2, 7	Ran on FASTA - No Coverage Report	2026-05-29_14-48-57
A/Chicken/Argentina/464-4/2023	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.43%, 99.16%, 99.17%, 99.29%, 99.30%, 99.27%, 99.22%, 99.63%	13, 19, 7, 7, 12, 11, 11, 8	Ran on FASTA - No Coverage Report	2026-05-29_14-48-57
A/duck/Peru/CAL-INS-013/2023	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:EPI-ISL-20215425:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	97.94%, 99.25%, 98.60%, 99.19%, 99.06%, 99.20%, 99.15%, 99.39%	13, 17, 11, 8, 16, 12, 12, 13	Ran on FASTA - No Coverage Report	2026-05-29_14-48-57
A/Wood_Duck/Tennessee/USDA-005907-002/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	100.00%, 100.00%, 99.88%, 100.00%, 99.94%, 99.93%, 99.86%, 99.95%	0, 0, 1, 0, 1, 1, 2, 1	Ran on FASTA - No Coverage Report	2026-05-29_14-48-57
A/chicken/Wisconsin/22-011213-002/2022	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.1, NA:ea1, PA:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.83%, 99.78%, 99.88%, 100.00%, 99.71%, 99.93%, 99.79%, 99.86%	4, 5, 1, 0, 5, 1, 3, 3	Ran on FASTA - No Coverage Report	2026-05-29_14-48-57
A/american_white_pelican/California/22-022941-001/2022	B4.1	PB2:am2.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.3, NA:ea1, PA:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.3:22-010445-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.87%, 99.78%, 99.64%, 99.80%, 99.59%, 99.87%, 99.72%, 99.81%	3, 5, 3, 2, 7, 2, 4, 4	Ran on FASTA - No Coverage Report	2026-05-29_14-48-57
