Strain	Genotype	Genotype List Used, >=98.0%	Genotype Sample Title List	Genotype Percent Match List	Genotype Mismatch List	Genotype Average Depth of Coverage List	Date run
EPI_ISL_18133425	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.87%, 99.96%, 99.76%, 99.79%, 99.91%, 99.82%, 99.93%, 100.00%	3, 1, 2, 3, 2, 3, 1, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-10-06
EPI_ISL_20370172	Not assigned: Only 4 segments >98.0% match found of total 7 segments in input file	NS:am1.1, NA:ea1, PA:ea1, MP:ea1	am7:22-035442-001:PB2, am12:23-004320-002:PB1, am1.1:22-010085-001:NS, ea1:24-009110-019:NA, ea1:22-003707-003:PA, am5:23-013078-002:NP, ea1:22-003707-003:MP	90.14%, 96.22%, 98.21%, 98.94%, 98.88%, 92.52%, 98.06%	223, 86, 15, 15, 24, 112, 19	Ran on FASTA - No Coverage Report	2026-06-01_16-10-06
EPI_ISL_19215176	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 99.03%, 98.91%, 99.43%, 99.40%, 99.06%, 98.73%, 99.18%	15, 22, 9, 8, 13, 16, 19, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-10-07
EPI_ISL_20370823	Not assigned: Only 4 segments >98.0% match found of total 7 segments in input file	NS:am1.1, NA:ea1, PA:ea1, MP:ea1	am7:22-035442-001:PB2, am12:23-004320-002:PB1, am1.1:22-010085-001:NS, ea1:24-009110-019:NA, ea1:22-003707-003:PA, am5:23-013078-002:NP, ea1:22-003707-003:MP	90.22%, 96.00%, 98.57%, 98.72%, 98.98%, 92.58%, 98.27%	221, 91, 12, 18, 22, 111, 17	Ran on FASTA - No Coverage Report	2026-06-01_16-10-07
EPI_ISL_20369893	Not assigned: Only 3 segments >98.0% match found of total 7 segments in input file	NA:ea1, NP:am1.1, MP:ea1	am2.1:22-009329-001:PB2, am2:22-031266-001:PB1, am1.3:22-008760-007:NS, ea1:22-003707-003:NA, ea1:EPI-ISL-20215425:PA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	87.42%, 89.01%, 91.53%, 98.23%, 86.61%, 98.20%, 98.68%	285, 248, 71, 25, 299, 27, 13	Ran on FASTA - No Coverage Report	2026-06-01_16-10-07
EPI_ISL_20370791	Not assigned: Only 4 segments >98.0% match found of total 7 segments in input file	NS:am1.1, NA:ea1, PA:ea1, MP:ea1	am7:22-035442-001:PB2, am12:23-004320-002:PB1, am1.1:22-010085-001:NS, ea1:24-009110-019:NA, ea1:22-003707-003:PA, am5:23-013078-002:NP, ea1:22-003707-003:MP	90.36%, 96.00%, 98.57%, 99.08%, 98.98%, 92.58%, 98.17%	218, 91, 12, 13, 22, 111, 18	Ran on FASTA - No Coverage Report	2026-06-01_16-10-08
EPI_ISL_20370746	Not assigned: Only 4 segments >98.0% match found of total 7 segments in input file	NS:am1.1, NA:ea1, PA:ea1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:24-009110-019:NA, ea1:22-003707-003:PA, am5:23-013078-002:NP, ea1:22-003707-003:MP	95.79%, 97.89%, 98.69%, 98.86%, 99.12%, 92.58%, 98.17%	96, 48, 11, 16, 19, 111, 18	Ran on FASTA - No Coverage Report	2026-06-01_16-10-08
EPI_ISL_20267521	Not assigned: Only 4 segments >98.0% match found of total 7 segments in input file	NS:am1.1, NA:ea1, PA:ea1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:24-009110-019:NA, ea1:22-003707-003:PA, am5:23-013078-002:NP, ea1:22-003707-003:MP	95.79%, 97.89%, 98.69%, 98.86%, 99.12%, 92.58%, 98.17%	96, 48, 11, 16, 19, 111, 18	Ran on FASTA - No Coverage Report	2026-06-01_16-10-08
EPI_ISL_20370752	Not assigned: Only 4 segments >98.0% match found of total 7 segments in input file	NS:am1.1, NA:ea1, PA:ea1, MP:ea1	am7:22-035442-001:PB2, am12:23-004320-002:PB1, am1.1:22-010085-001:NS, ea1:24-009110-019:NA, ea1:22-003707-003:PA, am5:23-013078-002:NP, ea1:22-003707-003:MP	90.22%, 96.13%, 98.57%, 98.94%, 98.93%, 92.52%, 98.06%	221, 88, 12, 15, 23, 112, 19	Ran on FASTA - No Coverage Report	2026-06-01_16-10-09
EPI_ISL_20267522	Not assigned: Only 4 segments >98.0% match found of total 7 segments in input file	NS:am1.1, NA:ea1, PA:ea1, MP:ea1	am7:22-035442-001:PB2, am12:23-004320-002:PB1, am1.1:22-010085-001:NS, ea1:24-009110-019:NA, ea1:22-003707-003:PA, am5:23-013078-002:NP, ea1:22-003707-003:MP	90.22%, 96.13%, 98.57%, 98.94%, 98.93%, 92.52%, 98.06%	221, 88, 12, 15, 23, 112, 19	Ran on FASTA - No Coverage Report	2026-06-01_16-10-09
EPI_ISL_18698459	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.47%, 99.34%, 99.52%, 99.22%, 99.63%, 99.18%, 99.06%, 99.49%	12, 15, 4, 11, 8, 14, 14, 5	Ran on FASTA - No Coverage Report	2026-06-01_16-10-09
EPI_ISL_17885951	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.52%, 99.30%, 98.93%, 99.08%, 99.53%, 99.24%, 99.27%, 99.49%	11, 16, 9, 13, 10, 13, 11, 5	Ran on FASTA - No Coverage Report	2026-06-01_16-10-10
EPI_ISL_18133437	B1.2	PB2:am1.1, PB1:am1.1, NS:ea1, NA:ea1, PA:am1, HA:ea1, NP:am1.2, MP:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, am1:22-008890-001:PA, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:MP	99.69%, 99.78%, 99.88%, 99.79%, 99.81%, 99.59%, 99.80%, 100.00%	7, 5, 1, 3, 4, 7, 3, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-10-10
EPI_ISL_18133482	B1.1	PB2:am1.1, PB1:am1.1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.2, MP:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:MP	99.65%, 99.78%, 99.88%, 99.86%, 99.86%, 99.71%, 99.80%, 99.90%	8, 5, 1, 2, 3, 5, 3, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-10-10
EPI_ISL_18133525	B1.1	PB2:am1.1, PB1:am1.1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.2, MP:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:MP	99.91%, 99.91%, 99.88%, 99.93%, 99.86%, 99.65%, 99.87%, 99.80%	2, 2, 1, 1, 3, 6, 2, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-10-11
EPI_ISL_18133523	B1.1	PB2:am1.1, PB1:am1.1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.2, MP:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:MP	99.78%, 99.87%, 99.88%, 99.93%, 99.95%, 99.77%, 99.80%, 99.90%	5, 3, 1, 1, 1, 4, 3, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-10-11
EPI_ISL_18133527	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.69%, 99.74%, 99.88%, 99.64%, 99.91%, 99.88%, 99.87%, 99.80%	7, 6, 1, 5, 2, 2, 2, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-10-11
EPI_ISL_18133505	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.78%, 99.96%, 99.76%, 99.93%, 99.95%, 99.94%, 100.00%, 100.00%	5, 1, 2, 1, 1, 1, 0, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-10-11
EPI_ISL_18133436	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.74%, 99.65%, 99.64%, 99.86%, 99.77%, 99.71%, 99.80%, 99.80%	6, 8, 3, 2, 5, 5, 3, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-10-12
EPI_ISL_18133415	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.52%, 99.69%, 99.88%, 99.72%, 99.91%, 99.82%, 99.80%, 99.80%	11, 7, 1, 4, 2, 3, 3, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-10-12
EPI_ISL_18133409	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.87%, 99.91%, 99.76%, 99.79%, 99.86%, 99.82%, 99.93%, 100.00%	3, 2, 2, 3, 3, 3, 1, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-10-12
EPI_ISL_18133448	B1.2	PB2:am1.1, PB1:am1.1, NS:ea1, NA:ea1, PA:am1, HA:ea1, NP:am1.2, MP:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, am1:22-008890-001:PA, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:MP	99.78%, 99.65%, 99.76%, 99.72%, 99.86%, 99.41%, 99.87%, 99.69%	5, 8, 2, 4, 3, 10, 2, 3	Ran on FASTA - No Coverage Report	2026-06-01_16-10-13
EPI_ISL_18133460	B3.1	PB2:am2.1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.91%, 99.87%, 100.00%, 99.79%, 99.91%, 99.82%, 99.93%, 99.80%	2, 3, 0, 3, 2, 3, 1, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-10-13
EPI_ISL_18133510	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.96%, 99.87%, 99.88%, 99.64%, 99.91%, 99.88%, 100.00%, 100.00%	1, 3, 1, 5, 2, 2, 0, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-10-13
EPI_ISL_18133506	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.96%, 99.91%, 99.76%, 99.93%, 99.91%, 99.94%, 100.00%, 99.80%	1, 2, 2, 1, 2, 1, 0, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-10-13
EPI_ISL_17885950	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.39%, 99.21%, 99.17%, 99.29%, 99.53%, 99.00%, 99.13%, 99.39%	14, 18, 7, 10, 10, 17, 13, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-14
EPI_ISL_19162731	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.56%, 99.16%, 99.17%, 99.50%, 99.58%, 99.24%, 99.27%, 99.49%	10, 19, 7, 7, 9, 13, 11, 5	Ran on FASTA - No Coverage Report	2026-06-01_16-10-14
EPI_ISL_18133483	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.65%, 99.69%, 100.00%, 99.72%, 99.95%, 99.65%, 100.00%, 99.80%	8, 7, 0, 4, 1, 6, 0, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-10-14
EPI_ISL_18133477	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.91%, 99.87%, 99.88%, 99.72%, 99.86%, 99.71%, 99.80%, 100.00%	2, 3, 1, 4, 3, 5, 3, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-10-15
EPI_ISL_18133475	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.78%, 99.82%, 99.76%, 99.79%, 99.91%, 99.77%, 99.87%, 99.90%	5, 4, 2, 3, 2, 4, 2, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-10-15
EPI_ISL_18133472	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.83%, 99.74%, 99.76%, 99.93%, 99.58%, 99.65%, 99.93%, 100.00%	4, 6, 2, 1, 9, 6, 1, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-10-15
EPI_ISL_18133469	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.83%, 99.96%, 99.88%, 99.93%, 99.77%, 99.77%, 99.80%, 100.00%	4, 1, 1, 1, 5, 4, 3, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-10-15
EPI_ISL_18133466	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.74%, 99.96%, 99.76%, 99.93%, 99.95%, 99.65%, 99.73%, 100.00%	6, 1, 2, 1, 1, 6, 4, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-10-16
EPI_ISL_18133463	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.78%, 99.91%, 99.88%, 99.79%, 99.77%, 99.71%, 99.87%, 100.00%	5, 2, 1, 3, 5, 5, 2, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-10-16
EPI_ISL_19391460	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.43%, 99.25%, 99.05%, 99.29%, 99.53%, 97.86%, 99.13%, 99.29%	13, 17, 8, 10, 10, 38, 13, 7	Ran on FASTA - No Coverage Report	2026-06-01_16-10-16
EPI_ISL_18265434	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.52%, 99.47%, 99.40%, 99.29%, 99.72%, 99.35%, 99.33%, 99.39%	11, 12, 5, 10, 6, 11, 10, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-16
EPI_ISL_18371665	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.52%, 99.34%, 98.60%, 99.36%, 99.77%, 97.97%, 99.27%, 99.38%	11, 15, 9, 9, 5, 36, 11, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-17
EPI_ISL_18133331	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.91%, 99.96%, 100.00%, 99.86%, 99.95%, 99.94%, 99.87%, 100.00%	2, 1, 0, 2, 1, 1, 2, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-09-50
EPI_ISL_17011964	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.39%, 99.16%, 99.28%, 99.50%, 99.40%, 99.18%, 99.13%, 99.49%	14, 19, 6, 7, 13, 14, 13, 5	Ran on FASTA - No Coverage Report	2026-06-01_16-09-51
EPI_ISL_17011958	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.25%, 99.08%, 99.40%, 99.50%, 99.44%, 99.06%, 98.93%, 99.29%	17, 21, 5, 7, 12, 16, 16, 7	Ran on FASTA - No Coverage Report	2026-06-01_16-09-51
EPI_ISL_20444470	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.39%, 99.34%, 98.93%, 99.36%, 99.49%, 97.86%, 99.13%, 99.19%	14, 15, 9, 9, 11, 38, 13, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-09-51
EPI_ISL_20444468	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 98.77%, 98.81%, 99.15%, 99.49%, 97.86%, 98.93%, 99.19%	15, 28, 10, 12, 11, 38, 16, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-09-52
EPI_ISL_20444467	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 98.72%, 98.81%, 99.15%, 99.49%, 97.86%, 98.93%, 99.19%	15, 29, 10, 12, 11, 38, 16, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-09-52
EPI_ISL_18133300	B1.2	PB2:am1.1, PB1:am1.1, NS:ea1, NA:ea1, PA:am1, HA:ea1, NP:am1.2, MP:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, am1:22-008890-001:PA, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:MP	99.78%, 99.87%, 99.88%, 99.72%, 99.91%, 99.77%, 99.80%, 99.69%	5, 3, 1, 4, 2, 4, 3, 3	Ran on FASTA - No Coverage Report	2026-06-01_16-09-52
EPI_ISL_18133269	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	100.00%, 99.96%, 100.00%, 99.72%, 99.95%, 99.82%, 100.00%, 99.90%	0, 1, 0, 4, 1, 3, 0, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-09-53
EPI_ISL_18133202	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.91%, 99.91%, 99.88%, 99.93%, 99.81%, 99.88%, 100.00%, 100.00%	2, 2, 1, 1, 4, 2, 0, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-09-53
EPI_ISL_17885948	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.39%, 90.16%, 99.05%, 99.43%, 99.58%, 99.18%, 99.13%, 99.39%	14, 142, 8, 8, 9, 14, 13, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-09-53
